,Opponent,WinningProbability,hand,hand1,hand2,tie,type
139,0.5193142857142857,0.4342489795918367,T3s,T,3,0.04643673469387755,"s
"
140,0.5267306122448979,0.4274081632653061,T2s,T,2,0.04586122448979592,"s
"
141,0.47362857142857145,0.4879469387755102,98s,9,8,0.038424489795918365,"s
"
142,0.4870775510204082,0.4713428571428571,97s,9,7,0.041579591836734694,"s
"
143,0.5030897959183673,0.4522857142857143,96s,9,6,0.04462448979591837,"s
"
144,0.5183469387755102,0.43319183673469386,95s,9,5,0.048461224489795916,"s
"
145,0.536804081632653,0.41375102040816325,94s,9,4,0.04944489795918367,"s
"
146,0.5417387755102041,0.41106530612244896,93s,9,3,0.04719591836734694,"s
"
147,0.5519428571428572,0.3989673469387755,92s,9,2,0.049089795918367346,"s
"
148,0.49880408163265305,0.45678367346938775,87s,8,7,0.04441224489795918,"s
"
149,0.5121755102040816,0.43965714285714286,86s,8,6,0.04816734693877551,"s
"
150,0.5288244897959183,0.4207795918367347,85s,8,5,0.050395918367346935,"s
"
151,0.5475510204081633,0.4005102040816326,84s,8,4,0.05193877551020408,"s
"
152,0.5646122448979591,0.3843877551020408,83s,8,3,0.051,"s
"
153,0.5722530612244898,0.3767020408163265,82s,8,2,0.051044897959183676,"s
"
154,0.5231795918367347,0.4265510204081633,76s,7,6,0.05026938775510204,"s
"
155,0.5370326530612245,0.40978367346938777,75s,7,5,0.05318367346938775,"s
"
156,0.5556408163265306,0.3893877551020408,74s,7,4,0.054971428571428574,"s
"
157,0.5744326530612245,0.3715510204081633,73s,7,3,0.054016326530612245,"s
"
158,0.5919142857142857,0.3545020408163265,72s,7,2,0.053583673469387756,"s
"
159,0.5414081632653062,0.4027265306122449,65s,6,5,0.05586530612244898,"s
"
160,0.5563918367346938,0.38669795918367345,64s,6,4,0.05691020408163265,"s
"
161,0.5774979591836734,0.36638367346938777,63s,6,3,0.05611836734693878,"s
"
162,0.5947959183673469,0.34932244897959186,62s,6,2,0.055881632653061224,"s
"
163,0.556734693877551,0.3857673469387755,54s,5,4,0.05749795918367347,"s
"
164,0.5722489795918367,0.3701551020408163,53s,5,3,0.05759591836734694,"s
"
165,0.5921755102040817,0.34984897959183675,52s,5,2,0.057975510204081634,"s
"
166,0.5847673469387755,0.3570938775510204,43s,4,3,0.058138775510204084,"s
"
167,0.6001183673469388,0.34259591836734693,42s,4,2,0.05728571428571429,"s
"
168,0.6084612244897959,0.33462857142857144,32s,3,2,0.05691020408163265,"s
"
